book-mc: n=5000 seed=7 lens=Base  fizzle paths 9.3%  severe-Taiwan paths 25.8%
2026 base-year rejection: 51.0% of draws (2026 ai_services: 847, 2026 binding: 4070, 2026 power_equipment: 1, 2026 silicon: 278)
ticker     side      E[up]      p10      p50      p90 P(loss)  E[log]    named      gap  term%  rho_l
BESI.AS    long     281.4%   -40.3%   196.5%   747.7%     18%    0.93   386.7%  -105.4%    72%    NaN
000660.KS  long     214.1%    35.4%   196.2%   417.3%      4%    1.02   243.8%   -29.7%    38%    NaN
AVGO       long     192.3%   -22.6%   156.5%   470.3%     15%    0.83   264.7%   -72.4%    67%    NaN
POWL       long     177.5%     0.7%   111.6%   445.9%     10%    0.80   298.6%  -121.0%    73%    NaN
NVDA       long     154.4%   -44.9%   111.8%   427.8%     22%    0.62   209.8%   -55.4%    61%    NaN
CLS        long     148.3%   -22.4%   146.4%   321.8%     14%    0.73   221.4%   -73.1%    64%    NaN
MU         long     124.8%    -4.7%   111.0%   275.1%     11%    0.68   148.6%   -23.8%    43%    NaN
6501.T     long     121.7%    13.6%    98.0%   261.4%      7%    0.70   199.1%   -77.4%    72%    NaN
GEV        long     102.6%   -21.1%    63.5%   283.7%     17%    0.52   188.1%   -85.4%    77%    NaN
002472.SZ  long      92.7%    31.8%    80.3%   169.5%      1%    0.61    90.6%     2.1%    63%    NaN
LITE       long      84.1%   -65.4%    49.7%   292.5%     33%    0.26   125.4%   -41.3%    63%    NaN
TSM        long      76.1%   -49.3%    51.3%   239.8%     29%    0.33   125.1%   -49.1%    61%    NaN
NRG        long      58.0%    18.1%    56.0%   101.0%      0%    0.44   112.6%   -54.6%    42%    NaN
ASML       long      57.6%   -57.1%    35.2%   210.9%     33%    0.21    92.0%   -34.4%    68%    NaN
300748.SZ  long      53.8%     3.1%    43.6%   117.6%      9%    0.38    52.2%     1.6%    68%    NaN
TECK       long      52.2%    -8.6%    42.3%   124.9%     14%    0.36    96.2%   -44.0%    63%    NaN
VST        long      42.4%   -13.9%    39.9%   102.2%     24%    0.30   118.6%   -76.3%    42%    NaN
FCX        long      32.6%   -19.1%    24.2%    94.0%     24%    0.22    69.8%   -37.2%    59%    NaN
GOOGL      long      29.4%   -23.7%    29.5%    82.8%     26%    0.21    59.0%   -29.7%    61%    NaN
WTKWY      long      11.8%     1.3%    13.0%    20.5%      8%    0.11     6.9%     4.9%    46%    NaN
SHA.DE     long       9.9%   -22.3%     3.1%    50.1%     44%    0.05     8.6%     1.3%    44%    NaN
MP         long      -7.9%   -64.0%   -20.1%    60.8%     67%   -0.26   -11.4%     3.5%    57%    NaN
MSFT       long     -10.2%   -17.9%    -9.6%    -0.5%     91%   -0.11    -1.9%    -8.3%    53%    NaN
CEG        long     -14.9%   -37.1%   -16.0%     9.2%     77%   -0.18    15.6%   -30.4%    48%    NaN
WDAY       short    -16.5%   -36.9%   -14.6%     0.1%     90%   -0.20   -35.1%    18.6%    48%    NaN
HUBS       short    -20.8%   -41.1%   -19.1%    -3.7%     98%   -0.25   -39.1%    18.3%    46%    NaN
MMC        short    -21.9%   -26.4%   -21.4%   -19.0%    100%   -0.25   -21.9%     0.0%    47%    NaN
MRVL       short    -30.4%   -81.5%   -40.0%    37.6%     79%   -0.62   -15.7%   -14.7%    61%    NaN
FDS        short    -30.5%   -39.7%   -29.5%   -23.5%    100%   -0.37   -38.4%     7.9%    39%    NaN
EQIX       short    -33.6%   -49.6%   -31.8%   -20.3%    100%   -0.42   -26.5%    -7.1%    56%    NaN
TCS.NS     short    -37.5%   -54.8%   -36.3%   -21.2%    100%   -0.49   -54.4%    16.9%    36%    NaN
6268.T     long     -38.0%   -41.0%   -37.5%   -35.9%    100%   -0.48   -37.0%    -1.0%    51%    NaN
EQT        long     -38.3%   -40.4%   -37.9%   -36.7%    100%   -0.48   -37.5%    -0.7%    38%    NaN
6954.T     short    -39.7%   -48.8%   -41.2%   -28.0%     99%   -0.52   -39.6%    -0.1%    55%    NaN
PAYX       short    -40.3%   -44.1%   -40.1%   -37.0%    100%   -0.52   -44.0%     3.7%    46%    NaN
SYM        long     -44.4%   -48.3%   -43.8%   -41.7%    100%   -0.59   -43.1%    -1.4%    70%    NaN
LSTR       short    -48.2%   -65.9%   -47.4%   -31.8%    100%   -0.69   -40.4%    -7.8%    44%    NaN
ADP        short    -53.9%   -60.6%   -53.0%   -49.4%    100%   -0.78   -60.4%     6.6%    46%    NaN
PLTR       short    -57.5%   -67.8%   -57.5%   -46.0%    100%   -0.88   -47.0%   -10.5%    47%    NaN
MAN        short    -58.3%   -63.0%   -58.1%   -53.8%    100%   -0.88   -62.6%     4.3%    24%    NaN
TEAM       short    -65.9%   -74.7%   -65.2%   -58.5%    100%   -1.09   -73.9%     8.0%    47%    NaN
CHRW       short    -66.1%   -66.9%   -65.9%   -65.4%    100%   -1.08   -65.8%    -0.2%    35%    NaN
RHI        short    -82.5%   -87.8%   -82.8%   -76.4%    100%   -1.77   -86.7%     4.2%    16%    NaN
6324.T     short    -82.6%   -83.4%   -82.4%   -82.0%    100%   -1.75   -82.3%    -0.3%    53%    NaN
