book-mc: n=6000 seed=7 lens=Base valuation=first-principles  fizzle paths 9.5%  severe-Taiwan paths 26.1%
2026 base-year rejection: 51.0% of draws (2026 ai_services: 1019, 2026 binding: 4880, 2026 power_equipment: 1, 2026 silicon: 351)
power-bound window (p10/p50/p90): first year 2028/2030/2032  last year 2031/2034/2036  years bound 0/1/7  never binds 45%
ticker     side      E[up]      p10      p50      p90 P(loss)  E[log]    named      gap  term%  rho_l
000660.KS  long     202.8%    26.4%   197.4%   378.5%      4%    0.99   209.8%    -7.0%    34%    NaN
AVGO       long     176.8%   -24.4%   143.4%   438.9%     17%    0.77   211.6%   -34.9%    62%    NaN
NVDA       long     124.7%   -48.1%    92.5%   347.2%     24%    0.51   154.1%   -29.4%    56%    NaN
CLS        long     121.9%   -19.8%   121.3%   282.6%     19%    0.61   170.4%   -48.5%    60%    NaN
MU         long     116.4%   -11.4%   109.9%   247.2%     14%    0.65   124.2%    -7.9%    39%    NaN
002472.SZ  long      96.0%    33.0%    84.5%   174.2%      0%    0.62    92.6%     3.4%    63%    NaN
BESI.AS    long      84.1%   -42.9%    80.4%   221.9%     25%    0.39   115.8%   -31.8%    69%    NaN
TSM        long      61.5%   -48.7%    39.1%   204.6%     33%    0.25    90.4%   -28.9%    56%    NaN
300748.SZ  long      51.8%    -0.2%    42.3%   116.7%     10%    0.36    48.9%     2.9%    67%    NaN
NRG        long      46.5%    18.1%    37.6%    89.7%      0%    0.36   114.7%   -68.1%    42%    NaN
ASML       long      43.1%   -59.1%    26.4%   171.0%     38%    0.11    64.1%   -21.0%    64%    NaN
GOOGL      long      31.9%   -31.1%    27.1%   102.1%     33%    0.20    42.4%   -10.5%    58%    NaN
VST        long      18.5%   -18.8%     5.8%    77.9%     45%    0.12   113.8%   -95.3%    41%    NaN
WTKWY      long      15.9%     3.5%    17.8%    25.9%      7%    0.14    10.2%     5.7%    46%    NaN
SHA.DE     long      14.3%   -19.6%     7.7%    54.5%     37%    0.10    12.7%     1.5%    44%    NaN
6501.T     long      13.1%   -44.5%    10.2%    68.2%     39%    0.05    79.3%   -66.2%    57%    NaN
TECK       long       6.3%   -34.8%     7.4%    42.0%     40%    0.02    36.4%   -30.2%    51%    NaN
MSFT       long       3.5%   -29.1%    -7.5%    55.7%     58%   -0.01    -1.7%     5.2%    53%    NaN
LITE       long      -4.2%   -67.4%    -5.6%    60.1%     56%   -0.23     8.9%   -13.1%    59%    NaN
FCX        long      -8.0%   -42.4%    -7.0%    21.9%     63%   -0.12    17.0%   -24.9%    46%    NaN
MP         long     -10.5%   -67.1%   -22.6%    59.7%     68%   -0.31   -14.5%     4.0%    57%    NaN
WDAY       short    -16.2%   -36.9%   -14.3%     0.6%     88%   -0.19   -35.0%    18.8%    48%    NaN
POWL       long     -18.5%   -59.1%   -24.6%    29.3%     72%   -0.29    40.5%   -59.0%    48%    NaN
MMC        short    -19.1%   -23.8%   -18.8%   -15.0%    100%   -0.21   -19.7%     0.6%    48%    NaN
HUBS       short    -21.3%   -40.5%   -19.6%    -5.4%     99%   -0.26   -38.7%    17.4%    46%    NaN
CEG        long     -22.9%   -38.5%   -27.6%     1.3%     89%   -0.28    15.1%   -37.9%    49%    NaN
FDS        short    -29.8%   -40.0%   -28.6%   -21.8%    100%   -0.36   -38.4%     8.6%    39%    NaN
EQIX       short    -30.4%   -50.1%   -29.1%   -12.5%    100%   -0.38   -24.9%    -5.5%    55%    NaN
GEV        long     -32.7%   -71.6%   -41.4%    16.7%     83%   -0.53    34.8%   -67.5%    57%    NaN
MRVL       short    -36.2%   -82.8%   -43.5%    21.5%     83%   -0.71   -27.6%    -8.6%    57%    NaN
EQT        watch    -37.0%   -40.6%   -36.8%   -34.5%    100%   -0.46   -36.5%    -0.4%    39%    NaN
TCS.NS     short    -37.3%   -54.5%   -35.9%   -21.3%    100%   -0.49   -53.9%    16.6%    36%    NaN
6268.T     watch    -38.1%   -41.9%   -37.8%   -35.0%    100%   -0.48   -37.6%    -0.5%    51%    NaN
6954.T     short    -39.3%   -48.8%   -40.6%   -27.2%     99%   -0.51   -39.7%     0.4%    56%    NaN
PAYX       short    -40.3%   -44.6%   -39.9%   -36.8%    100%   -0.52   -44.4%     4.1%    46%    NaN
PLTR       short    -44.4%   -76.4%   -55.8%     6.6%     87%   -0.75   -47.2%     2.8%    48%    NaN
SYM        watch    -49.0%   -53.5%   -48.7%   -45.3%    100%   -0.68   -48.4%    -0.5%    69%    NaN
LSTR       short    -50.0%   -66.4%   -49.6%   -33.4%    100%   -0.73   -46.4%    -3.6%    41%    NaN
ADP        short    -53.9%   -60.8%   -52.9%   -49.3%    100%   -0.78   -60.6%     6.7%    46%    NaN
MAN        short    -63.9%   -70.4%   -63.6%   -56.5%    100%   -1.03   -69.5%     5.7%    21%    NaN
TEAM       short    -65.8%   -74.7%   -65.1%   -58.5%    100%   -1.09   -73.9%     8.0%    47%    NaN
CHRW       short    -67.1%   -68.4%   -67.0%   -66.1%    100%   -1.11   -66.9%    -0.1%    34%    NaN
RHI        short    -82.2%   -87.4%   -82.4%   -76.0%    100%   -1.75   -86.3%     4.1%    17%    NaN
6324.T     short    -82.5%   -83.7%   -82.4%   -81.6%    100%   -1.74   -82.4%    -0.1%    54%    NaN
