book-mc: n=6000 seed=7 lens=Base valuation=first-principles  fizzle paths 8.8%  severe-Taiwan paths 26.1%
2026 base-year rejection: 51.0% of draws (2026 ai_services: 1019, 2026 binding: 4880, 2026 power_equipment: 1, 2026 silicon: 351)
power-bound window (p10/p50/p90): first year 2028/2030/2032  last year 2031/2034/2036  years bound 0/1/7  never binds 44%
ticker     side      E[up]      p10      p50      p90 P(loss)  E[log]    named      gap  term%  rho_l
000660.KS  long     174.8%    17.7%   169.8%   333.7%      5%    0.90   179.0%    -4.1%    33%    NaN
AVGO       long     165.8%   -26.6%   134.3%   414.2%     18%    0.73   196.2%   -30.4%    62%    NaN
NVDA       long     121.4%   -48.2%    89.7%   339.9%     25%    0.50   147.9%   -26.6%    56%    NaN
CLS        long     120.3%   -19.9%   119.8%   277.2%     19%    0.61   166.4%   -46.1%    60%    NaN
MU         long     107.0%   -13.8%   100.6%   231.2%     15%    0.61   113.1%    -6.1%    38%    NaN
BESI.AS    long      62.4%   -49.1%    59.5%   185.7%     28%    0.27    88.8%   -26.4%    68%    NaN
TSM        long      56.6%   -50.2%    36.8%   191.7%     34%    0.22    83.1%   -26.5%    56%    NaN
002472.SZ  long      54.7%   -11.6%    47.6%   131.8%     22%    0.36    54.1%     0.6%    62%    NaN
NRG        long      43.0%    18.4%    36.3%    77.5%      0%    0.34    97.9%   -54.8%    42%    NaN
GOOGL      long      27.6%   -31.0%    22.8%    93.8%     35%    0.17    37.3%    -9.7%    59%    NaN
ASML       long      27.2%   -63.1%    12.5%   140.8%     44%    0.00    44.0%   -16.7%    63%    NaN
300748.SZ  long      16.4%   -36.2%    10.1%    77.3%     39%    0.07    15.7%     0.7%    66%    NaN
WTKWY      long      15.9%     3.4%    17.8%    25.9%      7%    0.14    10.2%     5.7%    46%    NaN
VST        long      13.4%   -18.5%     3.7%    61.2%     46%    0.09    90.1%   -76.7%    41%    NaN
6501.T     long      11.0%   -44.7%     8.3%    64.5%     41%    0.03    74.9%   -64.0%    57%    NaN
SHA.DE     long       9.9%   -21.5%     3.3%    48.6%     44%    0.06     7.9%     1.9%    44%    NaN
TECK       long       6.7%   -34.0%     7.1%    42.1%     40%    0.03    36.4%   -29.8%    51%    NaN
MSFT       long      -5.3%   -30.8%   -13.9%    34.0%     66%   -0.09   -11.0%     5.7%    54%    NaN
FCX        long      -7.6%   -41.8%    -7.3%    21.9%     62%   -0.11    17.0%   -24.6%    46%    NaN
MP         long     -10.0%   -65.1%   -22.0%    60.0%     68%   -0.30   -14.5%     4.5%    57%    NaN
LITE       long     -10.6%   -68.9%   -12.2%    51.1%     64%   -0.29     1.0%   -11.6%    59%    NaN
WDAY       short    -16.4%   -36.9%   -14.5%     0.5%     89%   -0.20   -35.0%    18.7%    48%    NaN
POWL       long     -18.2%   -58.4%   -24.0%    30.6%     72%   -0.29    40.5%   -58.7%    48%    NaN
MMC        short    -19.0%   -23.7%   -18.8%   -14.9%    100%   -0.21   -19.7%     0.7%    48%    NaN
HUBS       short    -21.5%   -40.6%   -19.8%    -5.4%     99%   -0.26   -38.7%    17.3%    46%    NaN
CEG        long     -24.8%   -38.3%   -28.4%    -5.5%     95%   -0.30     5.7%   -30.5%    49%    NaN
FDS        short    -29.8%   -40.0%   -28.7%   -21.8%    100%   -0.36   -38.4%     8.6%    39%    NaN
EQIX       short    -30.2%   -49.9%   -28.7%   -12.0%    100%   -0.38   -24.9%    -5.3%    55%    NaN
GEV        long     -32.4%   -71.0%   -40.8%    17.4%     82%   -0.53    34.8%   -67.2%    57%    NaN
EQT        watch    -36.9%   -40.0%   -36.8%   -34.3%    100%   -0.46   -36.5%    -0.4%    39%    NaN
TCS.NS     short    -37.4%   -54.6%   -36.1%   -21.6%    100%   -0.49   -53.9%    16.4%    36%    NaN
MRVL       short    -40.1%   -83.6%   -47.1%    13.5%     86%   -0.76   -32.7%    -7.4%    56%    NaN
PAYX       short    -40.3%   -44.6%   -39.9%   -36.8%    100%   -0.52   -44.4%     4.1%    46%    NaN
6268.T     watch    -43.0%   -47.1%   -43.1%   -38.7%    100%   -0.56   -42.8%    -0.2%    49%    NaN
6954.T     short    -44.3%   -54.1%   -45.6%   -32.9%    100%   -0.60   -45.0%     0.6%    55%    NaN
SYM        watch    -48.9%   -52.6%   -48.7%   -45.1%    100%   -0.67   -48.4%    -0.4%    69%    NaN
LSTR       short    -49.8%   -66.1%   -49.4%   -33.0%    100%   -0.72   -46.4%    -3.4%    41%    NaN
PLTR       short    -52.6%   -77.4%   -61.5%   -13.5%     95%   -0.88   -55.8%     3.2%    49%    NaN
ADP        short    -53.9%   -60.7%   -53.0%   -49.2%    100%   -0.78   -60.6%     6.7%    46%    NaN
MAN        short    -63.9%   -70.4%   -63.7%   -56.9%    100%   -1.03   -69.5%     5.6%    21%    NaN
TEAM       short    -65.9%   -74.8%   -65.2%   -58.5%    100%   -1.10   -73.9%     8.0%    47%    NaN
CHRW       short    -67.0%   -68.2%   -67.0%   -66.1%    100%   -1.11   -66.9%    -0.1%    34%    NaN
RHI        short    -82.2%   -87.4%   -82.4%   -76.6%    100%   -1.75   -86.3%     4.1%    17%    NaN
6324.T     short    -83.2%   -84.3%   -83.2%   -82.2%    100%   -1.79   -83.1%    -0.1%    53%    NaN
