book-mc: n=5000 seed=7 lens=Base valuation=first-principles  fizzle paths 7.3%  severe-Taiwan paths 25.8%
2026 base-year rejection: 52.1% of draws (2026 ai_services: 845, 2026 binding: 4297, 2026 power_equipment: 1, 2026 silicon: 286)
power-bound window (p10/p50/p90): first year 2028/2030/2033  last year 2031/2034/2036  years bound 0/2/7  never binds 42%
ticker     side      E[up]      p10      p50      p90 P(loss)  E[log]    named      gap  term%  rho_l
000660.KS  long     219.6%    33.4%   219.3%   393.2%      4%    1.05   210.9%     8.7%    36%    NaN
AVGO       long     197.4%   -20.2%   176.8%   440.0%     15%    0.88   206.6%    -9.2%    65%    NaN
NVDA       long     147.4%   -44.2%   125.1%   362.3%     20%    0.64   154.6%    -7.2%    60%    NaN
CLS        long     140.0%   -17.0%   151.2%   277.2%     16%    0.72   167.7%   -27.6%    63%    NaN
MU         long     128.9%    -6.0%   125.5%   258.0%     12%    0.71   124.7%     4.2%    41%    NaN
BESI.AS    long     102.9%   -38.3%    96.5%   244.2%     18%    0.52   118.0%   -15.1%    71%    NaN
002472.SZ  long      94.8%    37.3%    81.5%   171.6%      0%    0.62    90.6%     4.2%    63%    NaN
TSM        long      78.8%   -45.8%    69.2%   221.3%     26%    0.37    94.1%   -15.3%    59%    NaN
ASML       long      57.5%   -56.1%    44.6%   184.1%     27%    0.24    65.4%    -7.9%    67%    NaN
300748.SZ  long      55.6%     8.0%    44.6%   119.3%      7%    0.39    52.3%     3.3%    67%    NaN
NRG        long      42.4%    14.7%    34.7%    84.2%      0%    0.34   108.4%   -66.0%    41%    NaN
GOOGL      long      32.0%   -24.6%    34.6%    81.1%     22%    0.23    44.3%   -12.3%    60%    NaN
VST        long      20.4%   -18.6%     9.2%    78.8%     42%    0.14   112.7%   -92.4%    41%    NaN
WTKWY      long      11.6%     0.9%    13.0%    20.5%      9%    0.11     6.9%     4.7%    46%    NaN
SHA.DE     long      11.0%   -19.5%     3.7%    51.2%     43%    0.07     8.6%     2.4%    44%    NaN
6501.T     long       8.2%   -49.5%     5.3%    61.7%     45%   -0.00    76.8%   -68.6%    52%    NaN
LITE       long       5.2%   -64.8%     3.2%    72.6%     46%   -0.11    10.6%    -5.4%    62%    NaN
TECK       long       0.7%   -36.5%     2.1%    28.7%     47%   -0.02    28.3%   -27.6%    49%    NaN
MP         long      -6.1%   -59.2%   -18.9%    63.8%     66%   -0.23   -11.4%     5.3%    57%    NaN
MSFT       long      -9.8%   -16.5%    -9.5%    -0.5%     91%   -0.11    -1.9%    -7.8%    53%    NaN
FCX        long     -11.3%   -43.3%   -10.0%    12.4%     71%   -0.15    11.6%   -22.9%    44%    NaN
WDAY       short    -16.9%   -37.0%   -15.0%    -0.1%     90%   -0.20   -35.1%    18.1%    48%    NaN
HUBS       short    -21.3%   -41.2%   -19.6%    -4.0%     98%   -0.26   -39.1%    17.8%    46%    NaN
MMC        short    -21.9%   -26.1%   -21.5%   -19.1%    100%   -0.25   -21.9%     0.0%    47%    NaN
CEG        long     -23.6%   -39.0%   -27.8%    -0.2%     90%   -0.29    13.2%   -36.8%    48%    NaN
POWL       long     -25.2%   -66.0%   -32.3%    27.4%     75%   -0.41    42.8%   -68.0%    37%    NaN
FDS        short    -30.7%   -39.9%   -29.7%   -23.5%    100%   -0.37   -38.4%     7.7%    39%    NaN
MRVL       short    -30.9%   -81.5%   -35.8%    24.2%     81%   -0.59   -28.2%    -2.7%    60%    NaN
EQIX       short    -32.8%   -50.2%   -30.5%   -20.5%    100%   -0.41   -30.3%    -2.5%    55%    NaN
6268.T     long     -38.0%   -40.1%   -37.6%   -35.9%    100%   -0.48   -37.0%    -1.0%    51%    NaN
TCS.NS     short    -38.0%   -55.1%   -36.8%   -21.9%    100%   -0.50   -54.4%    16.4%    36%    NaN
EQT        long     -38.2%   -39.8%   -38.0%   -36.7%    100%   -0.48   -37.5%    -0.7%    38%    NaN
6954.T     short    -39.4%   -47.8%   -41.0%   -27.7%     99%   -0.51   -39.6%     0.3%    55%    NaN
PAYX       short    -40.3%   -44.2%   -40.1%   -37.0%    100%   -0.52   -44.0%     3.6%    46%    NaN
GEV        long     -40.8%   -79.3%   -50.3%    10.9%     85%   -0.72    32.4%   -73.2%    43%    NaN
SYM        long     -44.3%   -47.0%   -43.8%   -41.8%    100%   -0.59   -43.1%    -1.3%    70%    NaN
LSTR       short    -47.6%   -66.0%   -45.8%   -32.6%    100%   -0.68   -45.9%    -1.7%    42%    NaN
ADP        short    -54.0%   -60.7%   -53.2%   -49.4%    100%   -0.78   -60.4%     6.4%    46%    NaN
PLTR       short    -57.1%   -66.2%   -57.2%   -45.9%    100%   -0.87   -47.0%   -10.0%    47%    NaN
MAN        short    -58.5%   -63.1%   -58.2%   -53.9%    100%   -0.88   -62.6%     4.2%    24%    NaN
CHRW       short    -66.1%   -66.6%   -65.9%   -65.4%    100%   -1.08   -65.8%    -0.2%    35%    NaN
TEAM       short    -66.1%   -74.8%   -65.3%   -58.6%    100%   -1.10   -73.9%     7.8%    47%    NaN
6324.T     short    -82.6%   -83.2%   -82.5%   -82.0%    100%   -1.75   -82.3%    -0.3%    54%    NaN
RHI        short    -82.8%   -87.8%   -82.9%   -77.6%    100%   -1.78   -86.7%     4.0%    16%    NaN
