book-mc: n=6000 seed=7 lens=Enhanced valuation=first-principles  fizzle paths 9.5%  severe-Taiwan paths 26.1%
2026 base-year rejection: 49.8% of draws (2026 ai_services: 1019, 2026 binding: 4598, 2026 power_equipment: 1, 2026 silicon: 344)
power-bound window (p10/p50/p90): first year 2027/2028/2030  last year 2028/2031/2034  years bound 0/2/5  never binds 37%
ticker     side      E[up]      p10      p50      p90 P(loss)  E[log]    named      gap  term%  rho_l
000660.KS  long     148.6%   -46.6%   107.5%   425.0%     27%    0.57    91.4%    57.2%    21%    NaN
002472.SZ  long      93.4%    33.1%    81.5%   169.4%      0%    0.61    82.1%    11.3%    62%    NaN
AVGO       long      92.1%   -81.6%     3.3%   451.7%     49%   -0.05     4.8%    87.3%    43%    NaN
MU         long      74.0%   -65.7%    41.2%   280.2%     39%    0.18    31.0%    43.0%    24%    NaN
NVDA       long      59.6%   -89.7%   -18.1%   374.5%     54%   -0.39   -18.7%    78.4%    31%    NaN
300748.SZ  long      49.3%    -0.8%    39.5%   112.2%     10%    0.34    40.2%     9.1%    67%    NaN
CLS        long      39.0%   -87.8%     0.2%   264.2%     50%   -0.34     5.7%    33.2%    37%    NaN
NRG        long      36.7%    17.4%    32.0%    58.3%      0%    0.30    43.8%    -7.1%    39%    NaN
BESI.AS    long      23.9%   -93.3%   -29.2%   224.3%     56%   -0.64   -16.3%    40.2%    42%    NaN
TSM        long      22.7%   -86.6%   -28.4%   233.6%     57%   -0.41   -24.0%    46.7%    37%    NaN
WTKWY      long      21.3%    11.7%    21.9%    29.8%      1%    0.19    15.6%     5.7%    46%    NaN
SHA.DE     long      15.5%   -17.2%     9.0%    55.0%     34%    0.11     9.5%     6.0%    43%    NaN
GOOGL      long       5.7%   -48.8%   -12.6%    94.4%     61%   -0.07    -8.6%    14.3%    51%    NaN
MSFT       long       3.0%   -28.6%    -6.3%    49.8%     58%   -0.01    -1.2%     4.2%    52%    NaN
VST        long       2.4%   -20.0%    -4.9%    31.0%     60%   -0.00    14.4%   -12.1%    37%    NaN
6501.T     long       2.3%   -47.8%    -7.8%    66.4%     57%   -0.07    13.6%   -11.2%    51%    NaN
ASML       long       0.7%   -92.0%   -43.1%   189.5%     66%   -0.75   -43.1%    43.8%    40%    NaN
TECK       long      -3.8%   -41.1%   -11.3%    44.9%     62%   -0.10    -2.1%    -1.7%    46%    NaN
WDAY       short     -6.9%   -22.3%    -4.6%     5.0%     69%   -0.08   -20.9%    14.1%    48%    NaN
MP         long     -12.1%   -67.2%   -23.9%    55.1%     69%   -0.32   -20.3%     8.2%    56%    NaN
HUBS       short    -12.6%   -27.1%   -10.6%    -1.6%     94%   -0.14   -25.7%    13.0%    46%    NaN
FCX        long     -16.2%   -47.7%   -22.3%    24.5%     75%   -0.23   -14.5%    -1.7%    41%    NaN
POWL       long     -16.7%   -54.6%   -23.2%    29.3%     75%   -0.26     2.0%   -18.8%    46%    NaN
MMC        short    -17.9%   -24.0%   -17.6%   -13.3%    100%   -0.20   -20.1%     2.2%    47%    NaN
FDS        short    -24.3%   -32.1%   -23.0%   -18.3%    100%   -0.28   -30.9%     6.6%    38%    NaN
TCS.NS     short    -28.4%   -41.3%   -27.0%   -18.6%    100%   -0.34   -40.5%    12.1%    37%    NaN
CEG        long     -29.3%   -39.7%   -31.8%   -17.4%     96%   -0.36   -25.2%    -4.1%    47%    NaN
LITE       long     -32.5%   -94.7%   -55.3%    66.8%     73%   -1.08   -51.3%    18.8%    36%    NaN
GEV        long     -33.2%   -67.9%   -42.9%    13.6%     85%   -0.53   -15.1%   -18.1%    54%    NaN
EQT        watch    -36.9%   -41.3%   -36.7%   -33.8%    100%   -0.46   -37.8%     0.9%    38%    NaN
6268.T     watch    -38.7%   -43.1%   -38.5%   -35.3%    100%   -0.49   -39.7%     0.9%    50%    NaN
PAYX       short    -39.2%   -43.3%   -39.1%   -35.6%    100%   -0.50   -43.1%     3.8%    45%    NaN
6954.T     short    -40.3%   -49.3%   -41.7%   -28.8%    100%   -0.53   -42.3%     2.0%    55%    NaN
EQIX       short    -41.7%   -61.1%   -44.9%   -14.9%     99%   -0.58   -45.3%     3.6%    50%    NaN
PLTR       short    -46.0%   -76.1%   -55.6%     0.5%     90%   -0.76   -47.4%     1.4%    47%    NaN
SYM        watch    -49.8%   -55.1%   -49.6%   -45.7%    100%   -0.69   -50.8%     1.1%    69%    NaN
ADP        short    -52.4%   -57.8%   -51.4%   -48.2%    100%   -0.75   -57.5%     5.1%    45%    NaN
MRVL       short    -54.1%   -96.2%   -73.6%    30.5%     85%   -1.54   -74.2%    20.1%    31%    NaN
LSTR       short    -58.9%   -73.8%   -62.2%   -37.5%    100%   -0.95   -62.6%     3.7%    35%    NaN
MAN        short    -60.3%   -65.5%   -60.0%   -55.5%    100%   -0.93   -64.6%     4.3%    20%    NaN
TEAM       short    -61.8%   -68.5%   -60.9%   -56.7%    100%   -0.97   -67.8%     6.0%    47%    NaN
CHRW       short    -67.0%   -68.9%   -66.8%   -65.7%    100%   -1.11   -67.4%     0.5%    34%    NaN
RHI        short    -79.8%   -84.0%   -79.9%   -74.8%    100%   -1.61   -82.9%     3.1%    16%    NaN
6324.T     short    -82.7%   -84.0%   -82.6%   -81.6%    100%   -1.75   -83.0%     0.3%    53%    NaN
