book-mc: n=6000 seed=7 lens=Mix valuation=first-principles  fizzle paths 9.5%  severe-Taiwan paths 26.1%
2026 base-year rejection: 50.0% of draws (2026 ai_services: 963, 2026 binding: 4681, 2026 power_equipment: 1, 2026 silicon: 344)
power-bound window (p10/p50/p90): first year 2027/2029/2032  last year 2029/2033/2036  years bound 0/0/6  never binds 54%
ticker     side      E[up]      p10      p50      p90 P(loss)  E[log]    named      gap  term%  rho_l
000660.KS  long     160.8%   -50.9%   155.1%   406.5%     24%    0.65   201.5%   -40.6%    31%  -0.32
AVGO       long     117.2%   -81.8%    69.5%   404.1%     35%    0.23   173.8%   -56.5%    57%  -0.35
002472.SZ  long      91.6%    32.4%    80.3%   165.9%      0%    0.60    87.1%     4.5%    62%  -0.01
MU         long      86.6%   -66.9%    79.0%   271.1%     32%    0.30   117.4%   -30.8%    36%  -0.32
NVDA       long      81.0%   -91.7%    33.8%   345.6%     41%   -0.13   127.6%   -46.6%    48%  -0.34
BESI.AS    long      64.6%   -94.1%    46.3%   310.8%     40%   -0.23   116.7%   -52.1%    60%  -0.30
CLS        long      61.7%   -86.4%    51.1%   232.2%     36%   -0.03   116.8%   -55.0%    51%  -0.40  structural bet
300748.SZ  long      48.1%    -0.9%    38.8%   109.7%     10%    0.34    44.3%     3.8%    67%  -0.01
NRG        long      36.8%    15.4%    28.6%    71.9%      0%    0.30    90.8%   -54.0%    41%  -0.27
TSM        long      34.1%   -86.2%     5.6%   211.0%     48%   -0.21    72.3%   -38.2%    51%  -0.33
ASML       long      18.9%   -91.8%    -8.2%   184.6%     53%   -0.43    49.7%   -30.8%    57%  -0.33
WTKWY      long      17.5%     5.8%    18.6%    27.5%      4%    0.16    13.1%     4.4%    46%   0.24
SHA.DE     long      13.0%   -19.0%     6.4%    51.4%     38%    0.09    11.0%     2.0%    43%   0.03
GOOGL      long       7.7%   -47.8%    -1.6%    77.2%     51%   -0.03    22.5%   -14.8%    56%  -0.36
VST        long       4.7%   -21.7%    -8.2%    53.0%     59%    0.01    80.0%   -75.2%    39%  -0.33
6501.T     long      -2.2%   -51.6%    -7.4%    54.4%     57%   -0.11    55.4%   -57.6%    54%  -0.34
MSFT       long      -3.8%   -30.5%   -11.9%    35.5%     65%   -0.07    -7.8%     4.0%    53%  -0.10
TECK       long      -6.7%   -42.8%    -7.9%    31.4%     60%   -0.12    20.4%   -27.0%    48%  -0.36
WDAY       short    -12.6%   -31.1%   -10.5%     2.0%     82%   -0.15   -27.9%    15.3%    47%   0.24
MP         long     -13.1%   -67.3%   -24.5%    53.3%     70%   -0.33   -18.3%     5.1%    56%  -0.01
LITE       long     -14.4%   -95.3%   -21.4%   102.0%     62%   -0.77    10.2%   -24.6%    52%  -0.29
HUBS       short    -17.9%   -35.2%   -16.0%    -4.0%     98%   -0.21   -32.1%    14.2%    45%   0.23
FCX        long     -18.8%   -49.2%   -19.8%    12.9%     79%   -0.25     3.6%   -22.4%    43%  -0.36
MMC        short    -19.3%   -24.1%   -19.1%   -14.9%    100%   -0.22   -19.5%     0.2%    47%   0.14
POWL       long     -23.8%   -59.7%   -31.5%    23.2%     79%   -0.36    26.4%   -50.2%    47%  -0.21
FDS        short    -27.7%   -37.2%   -26.5%   -20.2%    100%   -0.33   -34.6%     6.9%    38%   0.28
CEG        long     -28.6%   -40.3%   -33.3%    -8.9%     95%   -0.35     1.3%   -30.0%    48%  -0.31
TCS.NS     short    -33.5%   -49.0%   -32.1%   -19.9%    100%   -0.42   -47.1%    13.6%    36%   0.27
EQT        watch    -37.4%   -41.1%   -37.2%   -34.9%    100%   -0.47   -36.9%    -0.5%    38%   0.05
6268.T     watch    -38.8%   -42.7%   -38.5%   -36.0%    100%   -0.49   -38.3%    -0.5%    50%  -0.07
GEV        long     -38.9%   -71.9%   -49.0%     8.4%     87%   -0.62    18.6%   -57.5%    55%  -0.22
EQIX       short    -39.5%   -59.6%   -39.0%   -19.6%    100%   -0.54   -32.7%    -6.8%    53%  -0.40  structural bet
6954.T     short    -40.3%   -49.2%   -41.6%   -28.7%    100%   -0.53   -40.9%     0.6%    55%  -0.03
PAYX       short    -40.3%   -44.7%   -40.1%   -36.4%    100%   -0.52   -43.6%     3.3%    45%   0.16
MRVL       short    -47.8%   -96.9%   -59.1%    25.1%     83%   -1.30   -34.5%   -13.3%    49%  -0.34
SYM        watch    -49.9%   -54.5%   -49.6%   -46.4%    100%   -0.69   -49.2%    -0.6%    69%  -0.08
PLTR       short    -51.8%   -76.9%   -60.5%   -13.5%     94%   -0.86   -53.8%     2.0%    48%  -0.12
ADP        short    -53.7%   -60.1%   -52.8%   -49.0%    100%   -0.77   -58.9%     5.3%    45%   0.15
LSTR       short    -57.8%   -73.4%   -58.1%   -41.3%    100%   -0.91   -52.9%    -4.9%    38%  -0.43  structural bet
MAN        short    -62.5%   -68.6%   -62.3%   -56.0%    100%   -0.99   -67.0%     4.5%    19%   0.28
TEAM       short    -64.2%   -72.3%   -63.4%   -57.8%    100%   -1.04   -70.8%     6.5%    47%   0.24
CHRW       short    -67.3%   -68.9%   -67.1%   -66.2%    100%   -1.12   -67.1%    -0.2%    34%   0.09
RHI        short    -81.1%   -85.8%   -81.3%   -75.4%    100%   -1.69   -84.6%     3.5%    16%   0.25
6324.T     short    -82.7%   -83.9%   -82.6%   -81.9%    100%   -1.76   -82.6%    -0.2%    53%  -0.05
