book-mc: n=6000 seed=7 lens=Mix valuation=first-principles  fizzle paths 8.8%  severe-Taiwan paths 25.9%
2026 base-year rejection: 49.9% of draws (2026 ai_services: 960, 2026 binding: 4679, 2026 power_equipment: 1, 2026 silicon: 345)
power-bound window (p10/p50/p90): first year 2027/2029/2032  last year 2029/2033/2036  years bound 0/0/6  never binds 55%
ticker     side      E[up]      p10      p50      p90 P(loss)  E[log]    named      gap  term%  rho_l
000660.KS  long     135.2%   -52.2%   129.8%   345.1%     26%    0.56   170.8%   -35.6%    30%  -0.33
AVGO       long     106.8%   -81.5%    62.1%   367.3%     36%    0.20   160.3%   -53.5%    57%  -0.36
MU         long      77.5%   -66.4%    69.5%   246.8%     32%    0.26   106.4%   -28.9%    35%  -0.32
NVDA       long      76.2%   -91.0%    31.2%   322.4%     41%   -0.14   122.1%   -45.9%    48%  -0.35
CLS        long      60.1%   -85.3%    48.3%   227.3%     36%   -0.02   113.6%   -53.5%    51%  -0.41  structural bet
002472.SZ  long      51.0%   -12.7%    44.9%   124.5%     23%    0.34    49.8%     1.3%    62%  -0.01
BESI.AS    long      44.1%   -94.0%    27.6%   247.9%     43%   -0.32    89.4%   -45.3%    60%  -0.31
NRG        long      35.4%    15.7%    28.5%    66.3%      0%    0.29    82.4%   -47.0%    41%  -0.24
TSM        long      29.1%   -86.0%     2.4%   195.5%     49%   -0.23    65.8%   -36.6%    51%  -0.34
WTKWY      long      17.5%     5.8%    18.5%    27.4%      5%    0.16    13.1%     4.4%    46%   0.22
300748.SZ  long      13.5%   -37.2%     7.7%    72.4%     42%    0.05    12.2%     1.3%    66%  -0.02
SHA.DE     long       8.5%   -21.5%     2.2%    45.1%     46%    0.05     6.3%     2.2%    43%   0.03
ASML       long       4.6%   -92.1%   -18.4%   144.0%     58%   -0.53    31.3%   -26.7%    56%  -0.34
GOOGL      long       4.3%   -48.1%    -4.5%    68.6%     54%   -0.05    18.6%   -14.3%    57%  -0.37
VST        long       2.7%   -21.4%    -8.2%    45.8%     60%   -0.01    68.2%   -65.4%    39%  -0.30
6501.T     long      -4.4%   -51.6%    -9.5%    49.3%     60%   -0.13    51.7%   -56.1%    54%  -0.33
TECK       long      -6.6%   -42.0%    -7.8%    29.9%     60%   -0.11    20.4%   -27.0%    48%  -0.36
MSFT       long     -10.6%   -31.8%   -16.7%    20.2%     74%   -0.14   -15.0%     4.4%    53%  -0.07
WDAY       short    -12.8%   -31.7%   -10.5%     1.9%     83%   -0.15   -27.9%    15.1%    47%   0.22
MP         long     -12.9%   -65.6%   -24.4%    52.5%     70%   -0.32   -18.3%     5.4%    56%  -0.01
HUBS       short    -18.0%   -35.6%   -16.1%    -4.1%     97%   -0.21   -32.1%    14.1%    45%   0.22
FCX        long     -18.8%   -48.6%   -19.7%    11.7%     79%   -0.25     3.6%   -22.4%    43%  -0.36
MMC        short    -19.3%   -24.1%   -19.0%   -14.9%    100%   -0.22   -19.5%     0.3%    47%   0.12
LITE       long     -20.6%   -95.2%   -26.6%    84.1%     66%   -0.81     2.1%   -22.8%    52%  -0.30
POWL       long     -23.9%   -59.0%   -31.8%    22.4%     79%   -0.36    26.4%   -50.2%    47%  -0.18
FDS        short    -27.8%   -37.3%   -26.6%   -20.3%    100%   -0.33   -34.6%     6.8%    38%   0.26
CEG        long     -29.4%   -40.1%   -33.2%   -12.0%     97%   -0.36    -3.3%   -26.1%    48%  -0.28
TCS.NS     short    -33.7%   -49.2%   -32.3%   -20.0%    100%   -0.43   -47.1%    13.4%    36%   0.26
EQT        watch    -37.4%   -41.0%   -37.2%   -34.8%    100%   -0.47   -36.9%    -0.4%    38%   0.04
GEV        long     -39.0%   -71.5%   -49.1%     6.8%     87%   -0.62    18.6%   -57.6%    55%  -0.20
EQIX       short    -39.4%   -59.4%   -38.8%   -19.6%    100%   -0.53   -32.7%    -6.7%    53%  -0.41  structural bet
PAYX       short    -40.4%   -44.8%   -40.1%   -36.4%    100%   -0.52   -43.6%     3.3%    45%   0.14
6268.T     watch    -43.8%   -47.8%   -43.8%   -39.6%    100%   -0.58   -43.5%    -0.3%    49%  -0.04
6954.T     short    -45.3%   -54.5%   -46.5%   -34.5%    100%   -0.62   -46.1%     0.8%    54%  -0.03
SYM        watch    -49.8%   -53.7%   -49.6%   -46.3%    100%   -0.69   -49.2%    -0.6%    69%  -0.09
MRVL       short    -51.5%   -96.8%   -61.7%    13.1%     86%   -1.34   -39.2%   -12.3%    48%  -0.35
ADP        short    -53.7%   -60.0%   -52.9%   -48.9%    100%   -0.77   -58.9%     5.2%    45%   0.14
LSTR       short    -57.7%   -73.2%   -57.9%   -41.1%    100%   -0.90   -52.9%    -4.8%    38%  -0.44  structural bet
PLTR       short    -57.9%   -77.5%   -64.6%   -27.8%     98%   -0.97   -60.4%     2.5%    49%  -0.09
MAN        short    -62.6%   -68.6%   -62.4%   -56.2%    100%   -0.99   -67.0%     4.4%    19%   0.27
TEAM       short    -64.3%   -72.5%   -63.4%   -57.8%    100%   -1.05   -70.8%     6.5%    47%   0.22
CHRW       short    -67.2%   -68.7%   -67.1%   -66.1%    100%   -1.12   -67.1%    -0.1%    34%   0.07
RHI        short    -81.2%   -85.9%   -81.3%   -75.9%    100%   -1.69   -84.6%     3.4%    15%   0.24
6324.T     short    -83.4%   -84.5%   -83.4%   -82.4%    100%   -1.80   -83.3%    -0.1%    53%  -0.05
