book-mc: n=5000 seed=7 lens=V2  fizzle paths 9.3%  severe-Taiwan paths 25.7%
2026 base-year rejection: 49.1% of draws (2026 ai_services: 755, 2026 binding: 3802, 2026 power_equipment: 1, 2026 silicon: 273)
ticker     side      E[up]      p10      p50      p90 P(loss)  E[log]    named      gap  term%  rho_l
002472.SZ  long      94.0%    32.2%    81.0%   172.4%      0%    0.61    90.0%     4.0%    63%    NaN
300748.SZ  long      54.8%     3.7%    44.0%   119.8%      9%    0.38    51.6%     3.2%    68%    NaN
POWL       long      46.4%   -22.8%    40.3%   119.6%     20%    0.30    60.7%   -14.3%    67%    NaN
6501.T     long      23.7%   -27.4%    22.8%    69.4%     24%    0.16    40.8%   -17.1%    67%    NaN
GEV        long      14.2%   -40.3%    11.2%    69.2%     39%    0.05    25.3%   -11.1%    72%    NaN
NRG        long      13.5%    10.8%    13.8%    16.0%      0%    0.13    20.4%    -6.9%    42%    NaN
WTKWY      long      12.7%     2.3%    13.8%    21.5%      7%    0.12     7.5%     5.2%    46%    NaN
SHA.DE     long      10.7%   -22.0%     3.5%    51.5%     44%    0.06     8.4%     2.2%    44%    NaN
MP         long      -6.3%   -63.6%   -19.2%    64.1%     66%   -0.25   -10.9%     4.6%    57%    NaN
TECK       long      -9.8%   -35.9%   -10.3%    11.6%     75%   -0.12     2.0%   -11.8%    57%    NaN
WDAY       short    -15.6%   -36.0%   -13.7%     1.0%     86%   -0.19   -34.6%    19.0%    48%    NaN
MSFT       long     -16.7%   -21.8%   -15.6%   -11.2%    100%   -0.19   -15.1%    -1.6%    54%    NaN
HUBS       short    -20.0%   -40.2%   -18.3%    -2.8%     97%   -0.24   -38.6%    18.6%    46%    NaN
VST        long     -20.4%   -22.9%   -20.8%   -17.8%     99%   -0.23   -11.0%    -9.5%    43%    NaN
000660.KS  long     -20.5%   -71.4%   -20.3%     9.4%     82%   -0.34    19.1%   -39.5%    39%    NaN
FCX        long     -20.5%   -42.6%   -21.0%    -2.2%     92%   -0.25   -10.4%   -10.2%    53%    NaN
MMC        short    -21.9%   -26.3%   -21.5%   -18.9%    100%   -0.25   -22.4%     0.5%    47%    NaN
FDS        short    -29.9%   -39.1%   -28.8%   -22.9%    100%   -0.36   -38.0%     8.1%    39%    NaN
GOOGL      long     -33.9%   -47.4%   -33.9%   -21.7%     99%   -0.43   -17.9%   -16.1%    56%    NaN
TCS.NS     short    -36.9%   -54.4%   -35.7%   -20.2%    100%   -0.48   -54.0%    17.1%    36%    NaN
6268.T     long     -38.3%   -41.4%   -37.8%   -36.1%    100%   -0.48   -37.7%    -0.6%    51%    NaN
EQT        long     -38.4%   -40.7%   -38.0%   -36.8%    100%   -0.48   -38.0%    -0.4%    38%    NaN
6954.T     short    -39.6%   -48.6%   -41.2%   -27.7%     99%   -0.52   -40.0%     0.4%    55%    NaN
CEG        long     -39.7%   -41.2%   -39.4%   -38.1%    100%   -0.51   -35.8%    -3.8%    51%    NaN
PAYX       short    -41.3%   -45.4%   -40.9%   -38.0%    100%   -0.53   -45.1%     3.8%    45%    NaN
MU         long     -42.9%   -80.6%   -42.9%   -21.0%     98%   -0.68   -14.3%   -28.6%    44%    NaN
SYM        long     -44.8%   -48.8%   -44.2%   -42.1%    100%   -0.60   -44.0%    -0.8%    70%    NaN
AVGO       long     -50.6%   -86.6%   -55.3%   -25.2%     97%   -0.90    -7.6%   -43.0%    65%    NaN
CLS        long     -52.5%   -93.6%   -55.6%   -20.6%     97%   -1.03    -7.5%   -45.0%    58%    NaN
EQIX       short    -53.1%   -58.6%   -52.8%   -48.5%    100%   -0.76   -47.9%    -5.2%    52%    NaN
ADP        short    -56.0%   -63.2%   -55.3%   -50.3%    100%   -0.83   -62.8%     6.9%    45%    NaN
MAN        short    -59.7%   -64.4%   -59.7%   -54.2%    100%   -0.91   -63.9%     4.2%    24%    NaN
PLTR       short    -64.1%   -70.2%   -63.4%   -58.0%    100%   -1.04   -60.1%    -4.1%    49%    NaN
BESI.AS    long     -64.7%   -97.7%   -73.2%   -41.2%     98%   -1.57   -11.4%   -53.3%    67%    NaN
TEAM       short    -65.5%   -74.4%   -64.8%   -58.2%    100%   -1.08   -73.7%     8.1%    48%    NaN
CHRW       short    -66.1%   -66.9%   -65.8%   -65.4%    100%   -1.08   -65.9%    -0.1%    35%    NaN
TSM        long     -67.6%   -91.8%   -69.5%   -49.4%     99%   -1.33   -38.7%   -29.0%    59%    NaN
LSTR       short    -69.8%   -74.3%   -69.9%   -66.1%    100%   -1.20   -64.7%    -5.1%    37%    NaN
NVDA       long     -70.9%   -96.1%   -75.7%   -53.0%     98%   -1.60   -35.5%   -35.4%    58%    NaN
ASML       long     -74.0%   -96.1%   -76.2%   -59.6%     99%   -1.64   -51.8%   -22.2%    66%    NaN
LITE       long     -80.6%   -98.1%   -84.2%   -68.1%     99%   -2.07   -54.6%   -25.9%    60%    NaN
6324.T     short    -82.7%   -83.6%   -82.5%   -82.0%    100%   -1.75   -82.5%    -0.2%    53%    NaN
RHI        short    -84.2%   -89.1%   -84.7%   -78.0%    100%   -1.88   -87.8%     3.6%    13%    NaN
MRVL       short    -90.0%   -98.3%   -91.1%   -84.5%    100%   -2.59   -80.4%    -9.7%    59%    NaN
