book-mc: n=6000 seed=7 lens=V2 valuation=first-principles  fizzle paths 9.4%  severe-Taiwan paths 26.0%
2026 base-year rejection: 49.0% of draws (2026 ai_services: 904, 2026 binding: 4522, 2026 power_equipment: 1, 2026 silicon: 338)
power-bound window (p10/p50/p90): first year 2027/2028/2031  last year 2028/2030/2034  years bound 0/0/3  never binds 73%
ticker     side      E[up]      p10      p50      p90 P(loss)  E[log]    named      gap  term%  rho_l
002472.SZ  long      91.1%    33.6%    79.8%   164.6%      0%    0.60    81.6%     9.5%    62%    NaN
300748.SZ  long      47.4%    -0.3%    38.1%   108.3%     10%    0.33    39.7%     7.7%    67%    NaN
NRG        long      26.5%    14.1%    23.4%    38.9%      0%    0.23    66.9%   -40.4%    41%    NaN
000660.KS  long      25.2%   -76.4%   -44.1%   298.4%     74%   -0.36   193.1%  -167.9%    19%    NaN
WTKWY      long      21.4%    11.7%    22.0%    29.9%      1%    0.19    15.9%     5.5%    46%    NaN
SHA.DE     long      14.1%   -17.1%     7.8%    52.3%     36%    0.10     9.2%     4.9%    43%    NaN
WDAY       short     -6.7%   -22.2%    -4.4%     5.2%     67%   -0.08   -20.7%    14.0%    48%    NaN
MSFT       long     -11.2%   -30.7%   -14.0%    10.0%     79%   -0.13   -13.8%     2.6%    53%    NaN
VST        long     -11.7%   -23.2%   -17.7%     5.3%     87%   -0.14    46.2%   -57.9%    40%    NaN
MU         long     -11.8%   -85.2%   -62.8%   189.4%     77%   -0.76   110.6%  -122.4%    22%    NaN
HUBS       short    -12.5%   -27.0%   -10.4%    -1.4%     94%   -0.14   -25.5%    13.0%    46%    NaN
MP         long     -13.6%   -67.3%   -25.0%    51.8%     70%   -0.34   -22.1%     8.5%    56%    NaN
AVGO       long     -14.5%   -89.3%   -80.1%   220.4%     79%   -1.12   135.9%  -150.4%    45%    NaN
MMC        short    -18.3%   -23.8%   -17.7%   -14.4%    100%   -0.20   -19.4%     1.1%    47%    NaN
FDS        short    -24.2%   -32.0%   -22.8%   -18.2%    100%   -0.28   -30.8%     6.5%    38%    NaN
TECK       long     -27.4%   -46.5%   -34.8%     5.4%     88%   -0.36     4.4%   -31.8%    46%    NaN
GOOGL      long     -28.1%   -52.2%   -40.3%    24.0%     85%   -0.41     2.7%   -30.8%    52%    NaN
6501.T     long     -28.2%   -55.8%   -37.8%    13.7%     86%   -0.41    31.5%   -59.8%    52%    NaN
TCS.NS     short    -28.3%   -41.1%   -26.8%   -18.4%    100%   -0.34   -40.4%    12.1%    37%    NaN
NVDA       long     -31.4%   -96.7%   -90.4%   172.4%     80%   -1.88   101.1%  -132.5%    24%    NaN
BESI.AS    long     -31.8%   -97.9%   -93.3%   206.5%     81%   -2.14   117.5%  -149.4%    33%    NaN
CEG        long     -34.9%   -41.2%   -36.6%   -27.9%     98%   -0.44   -12.4%   -22.6%    49%    NaN
FCX        long     -36.4%   -52.4%   -42.7%    -8.6%     94%   -0.49    -9.8%   -26.6%    41%    NaN
POWL       long     -36.9%   -60.8%   -42.9%    -4.4%     92%   -0.53    12.2%   -49.1%    46%    NaN
EQT        watch    -37.2%   -40.9%   -36.8%   -34.9%    100%   -0.47   -37.3%     0.1%    38%    NaN
6268.T     watch    -39.1%   -42.8%   -38.5%   -36.6%    100%   -0.50   -39.0%    -0.0%    50%    NaN
PAYX       short    -39.2%   -43.3%   -39.1%   -35.6%    100%   -0.50   -42.8%     3.6%    45%    NaN
6954.T     short    -40.6%   -49.2%   -41.9%   -29.3%    100%   -0.53   -42.1%     1.5%    55%    NaN
CLS        long     -41.7%   -95.8%   -84.4%   117.3%     80%   -1.63    63.1%  -104.9%    25%    NaN
TSM        long     -42.7%   -92.0%   -84.0%   103.2%     82%   -1.43    54.3%   -97.0%    38%    NaN
SYM        watch    -50.2%   -54.4%   -49.6%   -47.4%    100%   -0.70   -50.0%    -0.2%    68%    NaN
GEV        long     -52.2%   -72.8%   -58.4%   -23.6%     95%   -0.83     2.5%   -54.7%    55%    NaN
ADP        short    -52.3%   -57.8%   -51.4%   -48.2%    100%   -0.74   -57.3%     5.0%    45%    NaN
ASML       long     -52.4%   -97.1%   -91.1%    89.0%     83%   -2.01    35.3%   -87.6%    35%    NaN
EQIX       short    -53.3%   -62.5%   -58.1%   -32.0%    100%   -0.79   -40.5%   -12.7%    49%    NaN
PLTR       short    -60.1%   -77.0%   -63.4%   -39.4%    100%   -0.99   -60.5%     0.4%    48%    NaN
MAN        short    -60.3%   -65.5%   -59.9%   -55.1%    100%   -0.93   -64.5%     4.2%    20%    NaN
TEAM       short    -61.7%   -68.5%   -60.8%   -56.6%    100%   -0.97   -67.7%     6.0%    47%    NaN
LITE       long     -63.7%   -98.2%   -94.7%    56.3%     85%   -2.44    11.4%   -75.2%    28%    NaN
CHRW       short    -67.1%   -68.7%   -66.9%   -66.1%    100%   -1.11   -67.3%     0.2%    34%    NaN
LSTR       short    -68.8%   -75.2%   -72.6%   -53.7%    100%   -1.20   -59.3%    -9.5%    34%    NaN
MRVL       short    -79.6%   -98.8%   -96.5%   -19.8%     93%   -2.95   -41.4%   -38.1%    21%    NaN
RHI        short    -79.7%   -83.9%   -79.8%   -74.8%    100%   -1.61   -82.8%     3.1%    16%    NaN
6324.T     short    -82.8%   -83.9%   -82.6%   -82.0%    100%   -1.76   -82.8%     0.0%    53%    NaN
