book-mc: n=5000 seed=7 lens=V2 valuation=first-principles  fizzle paths 8.7%  severe-Taiwan paths 25.6%
2026 base-year rejection: 49.4% of draws (2026 ai_services: 755, 2026 binding: 3860, 2026 power_equipment: 1, 2026 silicon: 273)
power-bound window (p10/p50/p90): first year 2027/2028/2031  last year 2028/2030/2034  years bound 0/0/2  never binds 76%
ticker     side      E[up]      p10      p50      p90 P(loss)  E[log]    named      gap  term%  rho_l
002472.SZ  long      92.4%    34.3%    79.8%   167.9%      0%    0.61    82.1%    10.3%    63%    NaN
300748.SZ  long      53.5%     5.4%    43.0%   116.2%      9%    0.38    45.1%     8.4%    68%    NaN
NRG        long      16.2%    11.7%    14.6%    20.9%      0%    0.15    47.5%   -31.2%    42%    NaN
WTKWY      long      12.6%     2.1%    13.7%    21.4%      7%    0.12     7.4%     5.2%    46%    NaN
SHA.DE     long       9.8%   -21.1%     2.8%    49.2%     45%    0.05     4.3%     5.5%    44%    NaN
MP         long      -7.9%   -61.7%   -20.4%    60.5%     67%   -0.26   -18.3%    10.4%    57%    NaN
WDAY       short    -15.8%   -36.1%   -13.9%     0.8%     87%   -0.19   -34.7%    18.8%    48%    NaN
VST        long     -16.6%   -22.1%   -19.9%   -10.8%     94%   -0.19    27.1%   -43.7%    42%    NaN
MSFT       long     -16.6%   -21.0%   -15.6%   -11.4%    100%   -0.18   -15.2%    -1.5%    54%    NaN
HUBS       short    -20.2%   -40.2%   -18.5%    -3.1%     97%   -0.24   -38.7%    18.5%    46%    NaN
000660.KS  long     -21.7%   -77.1%   -50.6%    14.0%     88%   -0.67    84.0%  -105.7%    17%    NaN
MMC        short    -21.9%   -26.2%   -21.5%   -19.0%    100%   -0.25   -22.3%     0.4%    47%    NaN
FDS        short    -30.1%   -39.2%   -29.0%   -23.0%    100%   -0.36   -38.1%     8.0%    39%    NaN
GOOGL      long     -36.2%   -48.7%   -43.1%   -28.0%     93%   -0.50    -5.6%   -30.6%    52%    NaN
TCS.NS     short    -37.1%   -54.5%   -36.0%   -20.3%    100%   -0.49   -54.1%    17.0%    36%    NaN
CEG        long     -38.1%   -40.6%   -39.0%   -35.4%    100%   -0.48   -20.7%   -17.4%    50%    NaN
6268.T     long     -38.2%   -40.8%   -37.7%   -36.1%    100%   -0.48   -37.5%    -0.7%    51%    NaN
EQT        long     -38.3%   -40.2%   -38.0%   -36.8%    100%   -0.48   -37.8%    -0.5%    38%    NaN
6954.T     short    -39.6%   -48.3%   -41.3%   -28.2%     99%   -0.52   -41.0%     1.3%    56%    NaN
TECK       long     -40.7%   -51.6%   -45.2%   -31.4%     95%   -0.55   -12.7%   -28.0%    38%    NaN
PAYX       short    -41.4%   -45.5%   -40.9%   -38.0%    100%   -0.54   -45.1%     3.7%    45%    NaN
SYM        long     -44.8%   -48.0%   -44.2%   -42.2%    100%   -0.59   -43.8%    -0.9%    70%    NaN
MU         long     -45.9%   -85.4%   -66.9%   -20.2%     91%   -1.07    31.5%   -77.3%    20%    NaN
FCX        long     -46.4%   -56.1%   -50.3%   -37.6%     97%   -0.65   -22.7%   -23.7%    34%    NaN
AVGO       long     -49.2%   -88.2%   -81.3%   -44.2%     92%   -1.43    56.5%  -105.7%    43%    NaN
6501.T     long     -53.0%   -68.1%   -59.8%   -37.1%     94%   -0.83    -0.4%   -52.6%    29%    NaN
EQIX       short    -55.2%   -59.7%   -57.4%   -50.8%    100%   -0.82   -44.9%   -10.3%    49%    NaN
ADP        short    -56.1%   -63.3%   -55.4%   -50.4%    100%   -0.83   -62.8%     6.8%    45%    NaN
POWL       long     -58.4%   -71.7%   -62.3%   -43.0%     98%   -0.93   -16.6%   -41.8%    19%    NaN
MAN        short    -59.8%   -64.5%   -59.8%   -54.4%    100%   -0.92   -63.9%     4.1%    24%    NaN
CLS        long     -62.9%   -95.5%   -86.7%   -39.7%     92%   -1.93    32.1%   -95.0%    22%    NaN
PLTR       short    -64.1%   -69.6%   -63.4%   -58.2%    100%   -1.04   -60.2%    -3.9%    49%    NaN
NVDA       long     -64.6%   -96.8%   -92.2%   -63.5%     93%   -2.37    27.0%   -91.7%    18%    NaN
TEAM       short    -65.6%   -74.4%   -64.9%   -58.3%    100%   -1.09   -73.7%     8.1%    48%    NaN
CHRW       short    -66.0%   -66.7%   -65.8%   -65.4%    100%   -1.08   -65.9%    -0.1%    35%    NaN
TSM        long     -66.9%   -92.9%   -86.7%   -60.4%     93%   -1.83     3.6%   -70.5%    34%    NaN
LSTR       short    -70.5%   -75.2%   -73.1%   -67.2%    100%   -1.25   -60.8%    -9.7%    33%    NaN
BESI.AS    long     -73.7%   -98.2%   -94.9%   -64.6%     93%   -2.78    15.8%   -89.5%    23%    NaN
GEV        long     -74.5%   -84.2%   -78.4%   -64.3%     99%   -1.46   -32.1%   -42.4%    18%    NaN
ASML       long     -75.8%   -97.4%   -92.7%   -69.6%     94%   -2.50   -16.2%   -59.6%    29%    NaN
6324.T     short    -82.6%   -83.4%   -82.5%   -82.0%    100%   -1.75   -82.4%    -0.2%    54%    NaN
RHI        short    -84.3%   -89.2%   -84.8%   -78.7%    100%   -1.89   -87.8%     3.5%    13%    NaN
LITE       long     -84.8%   -98.5%   -96.0%   -77.4%     95%   -3.04   -39.3%   -45.5%    20%    NaN
MRVL       short    -89.3%   -98.6%   -96.8%   -87.3%     97%   -3.28   -63.9%   -25.4%    20%    NaN
