ticker     side    impliedCAGR    E[up]    worst     best  term%
000660.KS  long         -10.1%   210.9%    33.1%   264.2%    40%
AVGO       long           7.4%   206.6%   -20.1%   277.8%    72%
CLS        long          12.1%   167.7%   -12.2%   237.8%    65%
NVDA       long           6.6%   154.6%   -44.0%   222.0%    68%
MU         long          -3.0%   124.7%    -7.0%   165.3%    46%
BESI.AS    long          12.9%   118.0%   -35.8%   168.5%    77%
VST        long           4.4%   112.7%   -16.1%   165.6%    45%
NRG        long           0.2%   108.4%    12.0%   146.6%    45%
TSM        long           7.5%    94.1%   -41.5%   144.8%    67%
002472.SZ  long           5.6%    90.6%     1.8%   116.0%    63%
6501.T     long           9.9%    76.8%   -47.1%   127.3%    58%
ASML       long          10.8%    65.4%   -56.5%   107.1%    73%
300748.SZ  long           8.1%    52.3%   -22.2%    73.4%    68%
GOOGL      long           9.7%    44.3%   -32.5%    75.9%    62%
POWL       long          14.4%    42.8%   -61.8%    80.4%    50%
GEV        long          17.5%    32.4%   -74.3%    76.1%    56%
TECK       long           9.3%    28.3%   -37.9%    56.7%    52%
CEG        long           8.8%    13.2%   -41.4%    34.7%    49%
FCX        long          11.0%    11.6%   -44.3%    35.2%    47%
LITE       long          19.5%    10.6%   -63.8%    33.5%    68%
SHA.DE     long           6.9%     8.6%   -34.8%    21.8%    44%
WTKWY      long           2.7%     6.9%     2.1%    16.7%    45%
MSFT       long           9.0%    -1.9%   -31.0%    10.6%    50%
MP         long          33.4%   -11.4%   -79.8%    10.5%    58%
MMC        short          6.0%   -21.9%   -26.5%   -19.4%    47%
MRVL       short         17.3%   -28.2%   -81.6%   -10.2%    68%
EQIX       short         10.0%   -30.3%   -51.4%   -22.9%    57%
WDAY       short          6.9%   -35.1%   -47.9%    -1.5%    43%
6268.T     long           9.0%   -37.0%   -43.7%   -35.9%    51%
EQT        long           9.1%   -37.5%   -42.4%   -36.8%    39%
FDS        short          7.4%   -38.4%   -45.0%   -24.7%    36%
HUBS       short          6.0%   -39.1%   -52.1%    -4.9%    40%
6954.T     short          9.5%   -39.6%   -56.2%   -35.4%    56%
SYM        long          21.1%   -43.1%   -51.6%   -41.4%    70%
PAYX       short          6.9%   -44.0%   -46.7%   -38.8%    44%
LSTR       short         14.1%   -45.9%   -65.6%   -37.2%    45%
PLTR       short         25.1%   -47.0%   -76.0%   -33.5%    44%
TCS.NS     short          5.7%   -54.4%   -67.4%   -21.1%    28%
ADP        short          9.4%   -60.4%   -65.4%   -50.4%    42%
MAN        short          8.1%   -62.6%   -67.3%   -53.7%    22%
CHRW       short         11.8%   -65.8%   -68.2%   -65.4%    35%
TEAM       short         17.6%   -73.9%   -79.4%   -59.1%    42%
6324.T     short         26.0%   -82.3%   -84.3%   -82.0%    54%
RHI        short         15.7%   -86.7%   -91.9%   -74.5%     8%
