ticker     side    impliedCAGR    E[up]    worst     best  term%
000660.KS  long         -10.1%    84.0%   -75.0%   252.4%    27%
002472.SZ  long           5.6%    82.1%     1.9%   113.1%    63%
AVGO       long           7.4%    56.5%   -88.1%   253.4%    54%
NRG        long           0.2%    47.5%     3.9%    97.7%    42%
300748.SZ  long           8.1%    45.1%   -22.1%    70.7%    68%
CLS        long          12.1%    32.1%   -94.9%   184.1%    42%
MU         long          -3.0%    31.5%   -84.0%   156.9%    31%
VST        long           4.4%    27.1%   -27.6%    97.1%    41%
NVDA       long           6.6%    27.0%   -96.3%   200.1%    38%
BESI.AS    long          12.9%    15.8%   -98.0%   160.7%    46%
WTKWY      long           2.7%     7.4%     2.3%    17.3%    45%
SHA.DE     long           6.9%     4.3%   -34.7%    20.3%    43%
TSM        long           7.5%     3.6%   -91.7%   130.4%    48%
6501.T     long           9.9%    -0.4%   -69.4%    77.0%    40%
GOOGL      long           9.7%    -5.6%   -56.8%    44.3%    56%
TECK       long           9.3%   -12.7%   -53.9%    28.4%    43%
MSFT       long           9.0%   -15.2%   -32.1%   -10.5%    52%
ASML       long          10.8%   -16.2%   -97.2%    93.2%    48%
POWL       long          14.4%   -16.6%   -72.6%    41.8%    30%
MP         long          33.4%   -18.3%   -79.8%     8.4%    57%
CEG        long           8.8%   -20.7%   -45.9%     7.4%    49%
MMC        short          6.0%   -22.3%   -26.4%   -19.7%    47%
FCX        long          11.0%   -22.7%   -57.9%    11.7%    39%
GEV        long          17.5%   -32.1%   -84.6%    28.7%    32%
WDAY       short          6.9%   -34.7%   -47.6%    -0.7%    43%
6268.T     long           9.0%   -37.5%   -43.6%   -36.5%    51%
EQT        long           9.1%   -37.8%   -42.3%   -37.1%    38%
FDS        short          7.4%   -38.1%   -44.8%   -24.2%    36%
HUBS       short          6.0%   -38.7%   -51.8%    -4.1%    40%
LITE       long          19.5%   -39.3%   -98.3%    33.4%    40%
6954.T     short          9.5%   -41.0%   -56.1%   -35.9%    56%
SYM        long          21.1%   -43.8%   -51.6%   -42.4%    70%
EQIX       short         10.0%   -44.9%   -63.1%   -29.4%    53%
PAYX       short          6.9%   -45.1%   -48.2%   -40.2%    44%
TCS.NS     short          5.7%   -54.1%   -67.2%   -20.3%    28%
PLTR       short         25.1%   -60.2%   -77.4%   -54.0%    46%
LSTR       short         14.1%   -60.8%   -76.0%   -45.8%    39%
ADP        short          9.4%   -62.8%   -68.4%   -50.8%    41%
MRVL       short         17.3%   -63.9%   -98.5%   -17.3%    40%
MAN        short          8.1%   -63.9%   -68.7%   -54.0%    22%
CHRW       short         11.8%   -65.9%   -68.1%   -65.5%    35%
TEAM       short         17.6%   -73.7%   -79.3%   -58.7%    42%
6324.T     short         26.0%   -82.4%   -84.3%   -82.1%    54%
RHI        short         15.7%   -87.8%   -92.7%   -75.1%     6%
